Start,End,Open,High,Low,Close,Volume,Market Cap,TVL
12-08-2023,13-08-2023,55.397,56.8561,54.9612,55.252,122166521.4,403313634.8,1334464287
11-08-2023,12-08-2023,55.3987,55.9676,54.9087,55.4947,143162209.2,403156107.3,1350191504
10-08-2023,11-08-2023,55.8277,56.9548,54.9311,55.3338,183212991.1,405914629.6,1319698515
09-08-2023,10-08-2023,56.0921,56.6827,54.9759,55.8226,220651056,406076717.5,1302908644
08-08-2023,09-08-2023,54.1903,56.251,53.5826,55.8902,279745194.5,398730181.3,1315022945
07-08-2023,08-08-2023,56.678,58.1175,53.2649,54.2722,320629836.1,403212274.5,1344208796
06-08-2023,07-08-2023,57.3956,59.2173,56.5436,56.6959,294906996.8,418420587.9,1356146537
05-08-2023,06-08-2023,57.8971,58.3598,54.5695,57.5985,458637732.9,416729071.1,1339551215
04-08-2023,05-08-2023,60.0899,60.7642,56.3116,57.9737,498230565.8,417510867.1,1325962222
03-08-2023,04-08-2023,61.2793,61.8178,58.7539,59.86,482288005.4,434689743.4,1298305116
02-08-2023,03-08-2023,65.2594,66.5075,61.7107,61.8311,697703229.4,464023027.6,1299666212
01-08-2023,02-08-2023,65.9065,66.1575,61.4297,65.2807,950024587,461456454.4,1301379961
31-07-2023,01-08-2023,70.6169,78.8401,65.644,66.1394,764095931.1,518374161,1254288595
30-07-2023,31-07-2023,72.1292,73.865,70.8133,71.0204,244711382.2,525448278,1262096630
29-07-2023,30-07-2023,72.2496,74.7285,71.5982,72.3333,365544509.9,526850402.8,1277059927
28-07-2023,29-07-2023,70.0693,71.9824,69.4023,71.9824,373487408,511527050.7,1280971682
27-07-2023,28-07-2023,70.4203,73.3895,69.6164,70.1186,806470240.9,516755551.3,1280570016
26-07-2023,27-07-2023,62.462,72.6457,62.462,70.6531,860326452.2,503625121.8,1297884542
25-07-2023,26-07-2023,63.521,63.7758,58.7233,62.3709,440490340.6,449417576.5,1289436612
24-07-2023,25-07-2023,69.6975,69.8677,62.7174,63.5622,319828236.8,477598665.2,1295846820
23-07-2023,24-07-2023,70.1564,72.5833,69.8562,70.2796,226892234.3,518080806.3,1313645889
22-07-2023,23-07-2023,70.8475,71.7599,69.6753,70.2563,265051573.8,516344557.1,1291259413
21-07-2023,22-07-2023,73.2449,76.4286,70.9132,70.9861,532008069.7,529765515.7,1309263894
20-07-2023,21-07-2023,69.3879,74.5554,69.181,73.455,475371308.5,523655945,1288788914
19-07-2023,20-07-2023,71.1643,73.6776,69.1128,69.3161,518699307,517127396.5,1296582158
18-07-2023,19-07-2023,75.5061,76.3175,69.1218,71.2672,773144792.2,526148687.1,1319172254
17-07-2023,18-07-2023,77.6016,78.2754,71.1301,76.0305,1062233701,544201406.8,1348835853
16-07-2023,17-07-2023,76.0702,82.6216,74.6761,77.402,1553877468,567979720.5,1339573531
15-07-2023,16-07-2023,66.7114,76.7618,65.2219,75.9987,961285779.4,522541733.7,1322016908
14-07-2023,15-07-2023,69.0704,71.9975,66.1081,66.8096,718983557.5,500421616.9,1379013265
13-07-2023,14-07-2023,71.4912,72.2564,67.7416,69.4644,997543367.2,506883077.2,1367541112
12-07-2023,13-07-2023,66.1051,70.9465,64.8891,70.8121,978079667.5,483509888.1,1296891096
11-07-2023,12-07-2023,59.7019,67.1501,58.659,66.0575,941160927.7,464561093.1,1300783061
10-07-2023,11-07-2023,59.8691,61.6316,57.1151,59.0806,868632974.6,428411762.1,1279905747
09-07-2023,10-07-2023,53.9609,61.2357,52.2633,60.1232,376355737.8,408432419.2,1283657807
08-07-2023,09-07-2023,55.5877,57.0881,53.0989,53.9558,264216327.9,398815424.7,1285412199
07-07-2023,08-07-2023,56.2453,58.8783,54.1647,55.5772,428628975.1,411266221.1,1280787309
06-07-2023,07-07-2023,58.573,63.3026,56.5394,56.6907,580102979.4,430576970.9,1258175267
05-07-2023,06-07-2023,62.362,65.2825,54.9898,59.6582,570212632.2,435914818.1,1300498624
04-07-2023,05-07-2023,62.8929,69.8557,60.9254,62.0582,741428727.1,460853880.9,1318405184
03-07-2023,04-07-2023,67.9593,69.1482,61.0806,63.2368,1220004606,467359802.5,1330059082
02-07-2023,03-07-2023,52.7423,68.4783,51.5342,68.4783,637759645.2,425288960.6,1339275303
01-07-2023,02-07-2023,55.3605,55.5322,51.7552,52.6699,627048919.9,388053522.1,1335385259
30-06-2023,01-07-2023,50.6886,58.8347,48.4768,55.8481,1476886881,402423763.2,1337578863
29-06-2023,30-06-2023,40.3603,52.5552,38.7388,49.908,762867762.6,335587852.4,1323878148
28-06-2023,29-06-2023,42.3103,43.7539,39.2222,40.2569,594556057.2,301073929.4,1297897344
27-06-2023,28-06-2023,35.7711,44.4349,35.7348,42.0766,406418483.9,293928207.2,1322899534
26-06-2023,27-06-2023,37.3874,38.3271,35.511,35.7032,476410024.9,265992867.2,1337909226
25-06-2023,26-06-2023,30.5713,42.4881,30.5125,37.8024,507603101.5,281605550.7,1365610916
24-06-2023,25-06-2023,30.5091,31.0917,29.9539,30.4696,30532890.32,222254082.3,1354747834
23-06-2023,24-06-2023,29.5706,31.2216,29.4955,30.4431,30209391.1,219847199,1357669667
22-06-2023,23-06-2023,29.8734,30.8524,29.4156,29.6088,40221756.85,218851300.4,1352858144
21-06-2023,22-06-2023,28.7835,29.9917,28.7693,29.8438,38564685.48,213352051.5,1360863271
20-06-2023,21-06-2023,28.426,28.9223,27.5969,28.8079,27997516.39,206861504.8,1340105123
19-06-2023,20-06-2023,28.0052,28.5413,27.7288,28.3763,24820614.5,204967510.3,1311892722
18-06-2023,19-06-2023,28.6674,28.8621,27.9187,27.9455,23844647.64,207696017,1298482279
17-06-2023,18-06-2023,27.7992,28.9139,27.7229,28.6888,30344585.06,207601584.5,1294228057
16-06-2023,17-06-2023,26.9884,27.833,26.6891,27.833,28207727.03,197723679,1261119127
15-06-2023,16-06-2023,26.4889,27.228,26.1652,27.0075,35624624.43,193877018.5,1318313134
14-06-2023,15-06-2023,27.2316,28.057,26.2728,26.5066,30892586.86,199849607.1,1229879530
13-06-2023,14-06-2023,28.219,28.3677,27.0696,27.2243,43472043.06,200662462.1,1261210981
12-06-2023,13-06-2023,26.208,28.7658,25.8029,28.2916,28298539.13,194142315.1,1256857878
11-06-2023,12-06-2023,26.5404,26.6728,25.8243,26.1485,42774375.29,191450346.8,1259707459
10-06-2023,11-06-2023,32.2727,32.279,24.713,26.5938,58347119.58,199269759.6,1251158074
09-06-2023,10-06-2023,32.0027,32.745,31.836,32.2293,30217733.43,234223674.1,1284579064
08-06-2023,09-06-2023,32.1066,32.496,31.6869,32.0212,38393784.59,233420218.3,1276174893
07-06-2023,08-06-2023,33.7248,33.7872,31.6863,32.1158,41893320.1,237704883.1,1299440995
06-06-2023,07-06-2023,32.6175,34.2009,32.4562,33.9275,44583813.55,242540180.1,1323856049
05-06-2023,06-06-2023,35.3884,35.5386,32.0243,32.6843,38239096.26,248970166.3,1265143647
04-06-2023,05-06-2023,35.509,36.0041,35.3306,35.4999,30051537.44,259131614.8,1308832594
03-06-2023,04-06-2023,35.7202,35.9539,35.4085,35.5191,31585725.82,259147888.6,1312188836
02-06-2023,03-06-2023,35.394,36.4048,35.0845,35.7215,33309873.99,261090294.6,1309226157
01-06-2023,02-06-2023,35.8264,36.0044,35.1842,35.4023,36808502.82,258713449.6,1299458511
31-05-2023,01-06-2023,36.4596,36.6354,35.5217,35.899,81469483.77,261182445.6,1305654950
30-05-2023,31-05-2023,36.9046,37.1062,36.2956,36.4945,63489672.17,266485815.6,1316174753
29-05-2023,30-05-2023,36.5031,37.0299,36.1376,36.8658,37791175.7,265880337.8,1315183870
28-05-2023,29-05-2023,35.1198,36.8159,34.9871,36.5582,34711411.42,258655532.3,1342118418
27-05-2023,28-05-2023,34.3974,35.2809,34.2841,35.1198,36202406.75,254413294.4,1302001999
26-05-2023,27-05-2023,33.9465,34.4914,33.3528,34.3767,33169354.56,245555114.6,1285567782
25-05-2023,26-05-2023,34.7208,34.7921,33.8973,33.9337,33140992.29,249560063.3,1282756093
24-05-2023,25-05-2023,35.552,35.552,33.9304,34.792,31464701.9,251889182.9,1268826108
23-05-2023,24-05-2023,35.2686,35.9688,35.1522,35.5468,30379558.56,258352789.8,1296423142
22-05-2023,23-05-2023,34.6397,35.3874,34.1148,35.2686,30730582.86,252787216.1,1264677211
21-05-2023,22-05-2023,35.7577,35.7964,34.3524,34.6397,26948928.5,255300901.3,1259999336
20-05-2023,21-05-2023,35.9164,36.0138,35.5647,35.7577,30621063.7,259913945.5,1288853127
19-05-2023,20-05-2023,35.5989,36.0401,35.3975,35.9164,38456865.62,259811428.3,1279543145
18-05-2023,19-05-2023,36.0863,36.2634,34.9414,35.5989,39889915.44,260515368.1,1274292662
17-05-2023,18-05-2023,35.1006,36.1204,34.6769,36.0863,38053532.95,256695818.5,1288186858
16-05-2023,17-05-2023,34.9596,35.5653,34.6435,35.1304,41452749.44,254331607.1,1287587197
15-05-2023,16-05-2023,34.852,35.4665,34.4408,34.9375,44933991.15,255603335.1,1284623857
