Start,End,Open,High,Low,Close,Volume,Market Cap,TVL
12-08-2023,13-08-2023,0.022692921,0.023006189,0.022692921,0.022894118,30500386.33,203069071.3,3649900809
11-08-2023,12-08-2023,0.022726372,0.022794635,0.022549451,0.022689902,30453603.75,201621539.5,3651132740
10-08-2023,11-08-2023,0.022668612,0.02284351,0.02262588,0.022726372,30603618.26,202309153.8,3663344004
09-08-2023,10-08-2023,0.022868058,0.022869406,0.02260472,0.022666774,30756146.97,202298926.9,3673236786
08-08-2023,09-08-2023,0.023266427,0.023300535,0.022186814,0.022874214,31098444.73,203038698,3684943043
07-08-2023,08-08-2023,0.023594936,0.023663938,0.02302762,0.023260789,27609412.95,207900265,3818288017
06-08-2023,07-08-2023,0.023750889,0.023948759,0.02343832,0.023586398,44568379.79,211261954.7,3770047904
05-08-2023,06-08-2023,0.023752187,0.024491844,0.023541126,0.023770151,36343426.13,210970851.5,3776371770
04-08-2023,05-08-2023,0.024181506,0.024314658,0.023606153,0.023754113,55837482.72,213399405.5,3781714705
03-08-2023,04-08-2023,0.024037393,0.024227812,0.023832409,0.024214515,51440668.18,213997811.6,3789798498
02-08-2023,03-08-2023,0.024603187,0.024885459,0.023854433,0.024028151,25032634.43,215756776.5,3785146347
01-08-2023,02-08-2023,0.02418093,0.024602397,0.023603043,0.024602397,11733907.06,214354313.7,3794598915
31-07-2023,01-08-2023,0.024538676,0.024843022,0.024140023,0.024230193,8631544.25,216765183.4,3883750294
30-07-2023,31-07-2023,0.025574449,0.025574449,0.024291022,0.024547205,14686681.07,221196355.2,3890990125
29-07-2023,30-07-2023,0.024390781,0.026482738,0.024240102,0.025629026,9225099.108,221201429.3,3901361857
28-07-2023,29-07-2023,0.023877853,0.024385751,0.023839292,0.024385751,7830296.798,214268792.1,3640461949
27-07-2023,28-07-2023,0.023822499,0.024083154,0.023748905,0.023913896,8377979.352,213051373.1,3623193950
26-07-2023,27-07-2023,0.023581739,0.023948419,0.023178024,0.023841308,10028630.21,209003215.8,3627856572
25-07-2023,26-07-2023,0.022767138,0.023646488,0.022756261,0.023523614,9796935.383,205676937.1,3615309254
24-07-2023,25-07-2023,0.023706448,0.023706448,0.022679304,0.022760603,8514216.509,205026719.5,3609694205
23-07-2023,24-07-2023,0.023649578,0.024170343,0.023540736,0.023694043,14990623.8,211270663.3,3703126465
22-07-2023,23-07-2023,0.023277072,0.025441509,0.02321195,0.023608191,33148220.3,212946851.2,3677425710
21-07-2023,22-07-2023,0.023320834,0.023473907,0.023257679,0.023282187,9245109.425,207835744.8,3720164519
20-07-2023,21-07-2023,0.023231595,0.023705989,0.023082489,0.0233227,9427151.477,207724221.2,3723023809
19-07-2023,20-07-2023,0.023027389,0.023377131,0.023027389,0.023267558,9084213.049,206343402.2,3683494499
18-07-2023,19-07-2023,0.023459084,0.023565728,0.022869193,0.023050346,9780879.599,206548195.3,3723980159
17-07-2023,18-07-2023,0.023555472,0.023810492,0.023150787,0.023461149,10384809.18,208960995,3730062555
16-07-2023,17-07-2023,0.024481596,0.024531244,0.023502821,0.023565722,24652922.63,212256513.3,3736024487
15-07-2023,16-07-2023,0.025942108,0.029118108,0.02434452,0.02460899,81400334.38,228106305.7,3754190090
14-07-2023,15-07-2023,0.024131083,0.024290308,0.023384872,0.023843563,10225882.1,213075420.8,3755958019
13-07-2023,14-07-2023,0.023583605,0.024132206,0.023080317,0.024103954,7349979.659,209330345.2,3813232297
12-07-2023,13-07-2023,0.023044769,0.0236612,0.023044769,0.023612264,9875905.85,208635450.2,3705348595
11-07-2023,12-07-2023,0.022149491,0.023048351,0.022089582,0.022930141,6987798.533,201429618.3,3779331657
10-07-2023,11-07-2023,0.022425722,0.022425722,0.02189647,0.022123558,5732730.317,196666981,3753426123
09-07-2023,10-07-2023,0.022588824,0.022712498,0.022377632,0.022396148,4367335.443,201016402.9,3740258033
08-07-2023,09-07-2023,0.022482517,0.022582158,0.022346128,0.022569433,4962891.718,199912024,3673486910
07-07-2023,08-07-2023,0.02215269,0.022644049,0.02212887,0.022469227,5953164.916,199329067.2,3677641118
06-07-2023,07-07-2023,0.022490935,0.022891636,0.02221234,0.022231197,6394705.732,200162618.9,3649785622
05-07-2023,06-07-2023,0.023046601,0.023369941,0.022410556,0.022480542,8187575.909,203447087,3699364965
04-07-2023,05-07-2023,0.022846205,0.023374589,0.022846205,0.023019385,8558950.808,205210232.9,3703383921
03-07-2023,04-07-2023,0.022599828,0.022978624,0.022542322,0.022842532,6662944.045,202871654.9,3749950740
02-07-2023,03-07-2023,0.02322974,0.02322974,0.022349477,0.022585097,9050286.213,200675208.8,3725269787
01-07-2023,02-07-2023,0.022489141,0.023669869,0.022313044,0.023195442,11521847.13,204560909,3691528683
30-06-2023,01-07-2023,0.022067978,0.02289469,0.021848479,0.022464293,8317940.46,198186928.1,3750358865
29-06-2023,30-06-2023,0.021894718,0.022307608,0.021821019,0.022073635,7951652.338,196472957,3788347343
28-06-2023,29-06-2023,0.021941885,0.022186067,0.021703357,0.021889179,7752529.338,195321940.1,3675928421
27-06-2023,28-06-2023,0.021848095,0.022092515,0.021804415,0.021981489,9245015.223,195376182.2,3775417402
26-06-2023,27-06-2023,0.022263967,0.023731665,0.021696757,0.021868896,10907145.35,196218137.7,3756921686
25-06-2023,26-06-2023,0.022416564,0.022838615,0.02229707,0.0223137,7417354.422,200356458.6,3769661718
24-06-2023,25-06-2023,0.02218366,0.022556568,0.02206046,0.022445723,7692856.99,198190146.5,3772694750
23-06-2023,24-06-2023,0.021408778,0.022382799,0.021334041,0.022138934,7105459.425,194159522.2,3776666274
22-06-2023,23-06-2023,0.021480487,0.021987031,0.021151974,0.021332904,7358243.868,191762928.2,3816777839
21-06-2023,22-06-2023,0.020579083,0.021521839,0.020549188,0.021511875,6978299.902,187068936.5,3862248813
20-06-2023,21-06-2023,0.020195491,0.020542856,0.019834402,0.020542856,6061148.275,178938464.9,3759587710
19-06-2023,20-06-2023,0.020149777,0.020292263,0.020030591,0.020185475,6182994.206,179205943.3,3596070837
18-06-2023,19-06-2023,0.020263874,0.020759185,0.020096041,0.020144173,7985493.432,181750866.9,3538183130
17-06-2023,18-06-2023,0.020064238,0.02040266,0.020001483,0.02026154,7164788.118,179922591.1,3556991732
16-06-2023,17-06-2023,0.019904904,0.020242663,0.019681653,0.020069386,6563774.913,177316919,3545173266
15-06-2023,16-06-2023,0.019913174,0.02006227,0.019552774,0.019905642,6896799.22,176602117.2,3450998591
14-06-2023,15-06-2023,0.020369793,0.020624579,0.019760149,0.019907578,7469252.111,181066624.6,3378808989
13-06-2023,14-06-2023,0.020322911,0.020975286,0.020133482,0.02037014,8184235.54,182109943.9,3545209386
12-06-2023,13-06-2023,0.020565083,0.020565083,0.019895881,0.020329606,9904104.892,179630165,3537986842
11-06-2023,12-06-2023,0.01980229,0.020971027,0.01980229,0.020566627,15573463.5,183796129.8,3497581237
10-06-2023,11-06-2023,0.021680325,0.021680325,0.018938023,0.019811654,10547127.43,176795969.3,3493787005
09-06-2023,10-06-2023,0.02265398,0.022802701,0.021631219,0.021674525,6461672.091,199725621.8,3600307251
08-06-2023,09-06-2023,0.022561978,0.022815063,0.022421863,0.0226602,8742415.739,201586304.2,3602859477
07-06-2023,08-06-2023,0.023591436,0.024579957,0.022306111,0.022560589,15514442.75,204951139.5,3600552768
06-06-2023,07-06-2023,0.023378364,0.023798861,0.022845452,0.023628251,17683670.22,207261638.5,3704698388
05-06-2023,06-06-2023,0.025336707,0.025580602,0.023041049,0.023410771,20715476.39,215497885.8,3531864460
04-06-2023,05-06-2023,0.026954484,0.027047783,0.025557338,0.025557338,55828400.94,232776987.6,3686055264
03-06-2023,04-06-2023,0.024333888,0.028598058,0.024333888,0.027189526,54411288.67,235106410.2,3686049985
02-06-2023,03-06-2023,0.022561938,0.023870122,0.022488788,0.023835973,5561372.31,203952299.8,3696768336
01-06-2023,02-06-2023,0.022765931,0.022828201,0.022453524,0.022594899,5690876.787,201282827.1,3641809727
31-05-2023,01-06-2023,0.023291232,0.02337714,0.022666921,0.022767032,5934964.923,204182721.1,3675541446
30-05-2023,31-05-2023,0.023377214,0.023491802,0.023253415,0.023299694,6648096.418,207817021.2,3748659273
29-05-2023,30-05-2023,0.023777904,0.023860327,0.023328656,0.023386295,6629825.108,209661720.4,3794004600
28-05-2023,29-05-2023,0.023432972,0.02385144,0.023378124,0.023788415,6298002.66,209614790.9,3815395924
27-05-2023,28-05-2023,0.023250808,0.023442601,0.023155329,0.023432972,6378380.33,207109570.2,3679844833
26-05-2023,27-05-2023,0.02327818,0.023393977,0.023174568,0.023248407,6747333.762,207340064.7,3637413369
25-05-2023,26-05-2023,0.023392228,0.023516361,0.023221474,0.023291762,7360664.93,207786227.9,3613378854
24-05-2023,25-05-2023,0.024388467,0.024388467,0.023257973,0.023392228,7937782.642,210961234.3,3593710369
23-05-2023,24-05-2023,0.024328969,0.024581856,0.024235664,0.024390693,8993634.625,217150813.3,3753419003
22-05-2023,23-05-2023,0.023999789,0.024501344,0.023223313,0.024328969,12134518.84,213901170.9,3634846903
21-05-2023,22-05-2023,0.023599554,0.02425456,0.023419092,0.023999789,8931036.274,210946962.2,3657770558
20-05-2023,21-05-2023,0.023303348,0.023811753,0.02322444,0.023599554,7841534.243,208419373.6,3697187103
19-05-2023,20-05-2023,0.023370125,0.023422658,0.023207026,0.023296936,8312044.823,207409780.1,3685419602
18-05-2023,19-05-2023,0.023712105,0.023804623,0.023226258,0.023374227,8835975.34,209291966.7,3670460424
17-05-2023,18-05-2023,0.023582173,0.023806411,0.023316293,0.023712105,8627703.427,209513142.8,3725329550
16-05-2023,17-05-2023,0.023564559,0.024406365,0.023430298,0.023580159,12625528.83,210028344.4,3694480497
15-05-2023,16-05-2023,0.02339302,0.023687534,0.023298274,0.023571569,7470924.705,209976999.4,3728676297
14-05-2023,15-05-2023,0.023229336,0.023624768,0.023189245,0.023401385,7139015.889,208219940.8,3673091708
13-05-2023,14-05-2023,0.023358261,0.023367152,0.023133924,0.023229336,8314951.34,206831529.6,3679516615
12-05-2023,13-05-2023,0.023176969,0.023358261,0.02268736,0.023358261,9507993.205,205189104,3681056145
11-05-2023,12-05-2023,0.023951683,0.023951683,0.022880995,0.023176969,10304061.05,208312286.5,3698111309
10-05-2023,11-05-2023,0.023836241,0.024191454,0.023467883,0.023951683,8824010.389,212528455.8,3771255173
09-05-2023,10-05-2023,0.023656004,0.023922978,0.0235088,0.023836241,10683956.99,211180340.5,3728841570
08-05-2023,09-05-2023,0.024443906,0.024443906,0.023387428,0.023656004,10666203.14,211706331.1,3731501183
07-05-2023,08-05-2023,0.024485188,0.024614964,0.024411982,0.024443906,8396552.035,218167953.2,3833628213
06-05-2023,07-05-2023,0.02504289,0.025090581,0.024296854,0.024485188,9204351.503,219699698.3,3893404528
05-05-2023,06-05-2023,0.024699043,0.025108238,0.024582664,0.02504289,8749354.41,221140766.5,4004434469
04-05-2023,05-05-2023,0.02479097,0.024823782,0.02444835,0.024699043,11481734.69,219401067.2,3729961665
03-05-2023,04-05-2023,0.025128013,0.02513862,0.024127479,0.02479097,15325360.1,219139379.1,3762713856
02-05-2023,03-05-2023,0.02581645,0.02581645,0.02465723,0.025105616,29747070.49,221492406.4,3720488039
01-05-2023,02-05-2023,0.025634958,0.027836159,0.025151795,0.02581645,27908851.18,231653337.4,3635095149
30-04-2023,01-05-2023,0.026136349,0.026136349,0.02564427,0.025683686,17255459.06,230338809.8,3834021712
29-04-2023,30-04-2023,0.026098819,0.026395769,0.025974774,0.026136349,20398193.8,232867611.9,3811851822
28-04-2023,29-04-2023,0.025711394,0.026897633,0.025581943,0.026104233,16319132.14,230719528.2,3813286366
27-04-2023,28-04-2023,0.025486562,0.026019718,0.025367591,0.025680305,19077470.52,228077335.9,3829808563
26-04-2023,27-04-2023,0.025898199,0.026416052,0.025066812,0.025486562,18757747.58,230761961.3,3796450862
