Start	End	Open	High	Low	Close	Volume	Market Cap	TVL
11/8/2023	12/8/2023	1258.3067	1266.3279	1237.0437	1249.7785	368425369.5	1222198557	5996888862
10/8/2023	11/8/2023	1210.1227	1261.7517	1210.1227	1256.6961	366174148.2	1213439773	5901958552
9/8/2023	10/8/2023	1209.5295	1224.4554	1195.168	1215.1284	291645136.8	1179889991	5641759974
8/8/2023	9/8/2023	1217.0582	1240.0692	1209.9845	1211.3977	355938330.2	1196134484	5577750162
7/8/2023	8/8/2023	1222.2682	1256.8681	1182.4293	1217.05	455047815.6	1187714847	5413496318
6/8/2023	7/8/2023	1248.1594	1256.7312	1214.6458	1222.6941	874335989.2	1210609645	5200265925
5/8/2023	6/8/2023	1304.0893	1304.3631	1235.4678	1247.7022	613010767.4	1237735651	5166448375
4/8/2023	5/8/2023	1292.8566	1327.2023	1267.495	1302.297	633080891.7	1268233712	5144085767
3/8/2023	4/8/2023	1288.5016	1342.1949	1286.1016	1288.8972	555238693.6	1286032699	5048310100
2/8/2023	3/8/2023	1337.0607	1349.934	1285.4214	1291.6638	806107369.1	1290199315	5086613401
1/8/2023	2/8/2023	1227.1546	1340.4308	1193.6798	1338.4619	599236574.9	1225927276	5181930830
31-07-2023	1/8/2023	1243.1595	1300.425	1208.7241	1226.7539	449076842.8	1227613136	5185973513
30-07-2023	31-07-2023	1285.8645	1293.8569	1239.2806	1251.5198	587986635.3	1238395134	5170037483
29-07-2023	30-07-2023	1175.8784	1311.3775	1175.8784	1284.881	488405110.5	1213918209	5151202662
28-07-2023	29-07-2023	1163.1314	1186.4163	1150.7598	1179.4197	464110824.7	1141291240	5135092474
27-07-2023	28-07-2023	1183.1556	1275.2335	1139.8371	1163.2286	578284149.1	1173725764	5121402083
26-07-2023	27-07-2023	1139.8508	1194.0744	1118.3962	1183.4344	494214332	1128910679	5142669325
25-07-2023	26-07-2023	1065.262	1173.6223	1062.8233	1141.213	412763523.4	1088330084	5143795552
24-07-2023	25-07-2023	1085.0996	1085.61	1014.6853	1068.7268	317223792.7	1032030416	5139043245
23-07-2023	24-07-2023	1103.9788	1134.8418	1084.3054	1091.3439	300218264.7	1082505172	5291701494
22-07-2023	23-07-2023	1096.7891	1116.6604	1072.044	1105.7032	562426965	1074499827	5237843839
21-07-2023	22-07-2023	1030.9088	1202.7143	1030.9088	1092.9342	842510533.5	1114100233	5321742672
20-07-2023	21-07-2023	994.1511	1053.8862	983.6814	1032.5382	437633443.1	996481005.8	5361237154
19-07-2023	20-07-2023	924.1578	995.1662	923.9581	990.4781	325244311.2	957505385.6	5407450783
18-07-2023	19-07-2023	934.5612	942.1078	894.1716	924.0117	200315214.9	894787242.3	5504417422
17-07-2023	18-07-2023	969.1482	992.4796	927.3381	936.2768	431776717.1	931555117.8	5532183937
16-07-2023	17-07-2023	891.1738	1009.8031	891.1738	968.1873	376712629.9	937929621.8	5563954996
15-07-2023	16-07-2023	863.2655	891.656	854.1247	890.2995	185214474.1	855859975.7	5605115264
14-07-2023	15-07-2023	923.9889	954.7602	849.6585	869.1223	277946539.1	889761116	5599737416
13-07-2023	14-07-2023	910.6608	959.5458	880.304	925.9076	184825726.7	882965323.9	5774576021
12/7/2023	13-07-2023	912.9149	933.2317	891.3144	907.3963	170299656	892419401.6	5489335595
11/7/2023	12/7/2023	917.676	938.0315	910.1178	912.4109	219354024.7	900123104.6	5571778683
10/7/2023	11/7/2023	960.67	960.67	906.9125	915.2996	279533233	906620310.8	5598384683
