Start,End,Open,High,Low,Close,Volume,Market Cap,TVL
12-08-2023,13-08-2023,4.348644855,4.360847173,4.271887494,4.300500368,8043709.868,66755777.92,684509126.5
11-08-2023,12-08-2023,4.360519148,4.407142761,4.339810629,4.339810629,7593374.578,67477739.24,682983279.1
10-08-2023,11-08-2023,4.436049308,4.447061999,4.359012167,4.361806357,10308608.37,67755429.72,682425584.9
09-08-2023,10-08-2023,4.434937726,4.44077601,4.357856679,4.432429086,12334794.83,68022027.94,679615648.6
08-08-2023,09-08-2023,4.312231494,4.48111063,4.277082669,4.43856076,12249207.87,67206015.27,676926006.1
07-08-2023,08-08-2023,4.367708781,4.505785421,4.30720219,4.318102076,13119789.33,68087426.16,665787304.6
06-08-2023,07-08-2023,4.420336697,4.548980423,4.349015041,4.364751289,10224232.12,68709458.75,673468591.5
05-08-2023,06-08-2023,4.439014678,4.478649933,4.346869212,4.4204265,9889033.622,68154232.12,666518783.8
04-08-2023,05-08-2023,4.437162267,4.489987492,4.387727933,4.446447908,12437100.14,68510964.9,657279026.2
03-08-2023,04-08-2023,4.350965613,4.497066215,4.259739974,4.43677387,10634092.62,67735949.71,654924672.4
02-08-2023,03-08-2023,4.447468268,4.477949812,4.308865443,4.341986301,9362432.289,67912542.49,658037555.6
01-08-2023,02-08-2023,4.380732213,4.433959597,4.242355521,4.433959597,11012408,67353922.6,660323452.1
31-07-2023,01-08-2023,4.443459853,4.465131964,4.312968739,4.38201999,14802168.12,67889684.73,706163276.1
30-07-2023,31-07-2023,4.474396703,4.56142964,4.369904571,4.464073833,11844823.3,68764332.38,696472655.2
29-07-2023,30-07-2023,4.460872336,4.563727484,4.427929947,4.481362455,18133881.21,69230189.36,700051137.7
28-07-2023,29-07-2023,4.374117741,4.639198397,4.340693319,4.460458861,10888233.42,68528029.56,686070656
27-07-2023,28-07-2023,4.311805225,4.488669479,4.28088329,4.372930769,6883555.812,67524809.87,673880811.7
26-07-2023,27-07-2023,4.292921143,4.370603749,4.221383564,4.318003892,8361016.422,66099044.9,671510860.4
25-07-2023,26-07-2023,4.310297258,4.342789941,4.237516248,4.29458282,12388801.44,66315892.97,668706181.8
24-07-2023,25-07-2023,4.425703687,4.437739004,4.247075785,4.314128215,13745929.76,67076232.85,670501657.1
23-07-2023,24-07-2023,4.497875485,4.566001138,4.413024941,4.425453314,15838848.92,68897010.09,689679051.4
22-07-2023,23-07-2023,4.445234247,4.516834017,4.380744444,4.473907271,26866635.67,68796360.46,682168196.6
21-07-2023,22-07-2023,4.473311006,4.618085618,4.387601141,4.443856828,39341366.78,68960040.79,692204851.3
20-07-2023,21-07-2023,4.208289341,4.477526706,4.139090693,4.477526706,19042632.55,65571201.29,690492194.8
19-07-2023,20-07-2023,4.463402042,4.544725778,4.204684963,4.213851931,11193851.37,67871919.57,700825467.3
18-07-2023,19-07-2023,4.650764681,4.674293935,4.433067825,4.47291388,12558999.81,69840109.98,722223238.5
17-07-2023,18-07-2023,4.611947344,4.734902182,4.49193806,4.646931056,12517904.47,71378040.75,790366285.1
16-07-2023,17-07-2023,4.763760185,4.775243923,4.600544672,4.622168792,12704618.78,72506597.08,761021617.5
15-07-2023,16-07-2023,4.928439659,4.95578763,4.681672788,4.762718131,22681161.67,73755552.11,729541555.2
14-07-2023,15-07-2023,4.812880862,4.983407961,4.699823024,4.919134591,18793595.5,74900303.81,724212892.3
13-07-2023,14-07-2023,4.46277106,4.816748256,4.403643674,4.788708658,14201035.41,70573125.26,744675035.3
12-07-2023,13-07-2023,4.393269202,4.524552587,4.387377608,4.463941065,15353291.57,68379317.5,719740383.1
11-07-2023,12-07-2023,4.311520359,4.413515864,4.262051747,4.40021403,12222316.32,66789988.55,729415815.7
10-07-2023,11-07-2023,4.179609509,4.36651486,4.070527313,4.302282966,10943676.41,64644242.77,705113926
09-07-2023,10-07-2023,4.222369442,4.261612166,4.172740854,4.181221659,10414354.72,65082337.14,687270422.1
08-07-2023,09-07-2023,4.191112809,4.281145774,4.143969996,4.213678207,8418265.303,65009171.36,669530151.7
07-07-2023,08-07-2023,4.09156143,4.209766269,4.081610092,4.194449897,12052976.62,63953557.51,663678445.2
06-07-2023,07-07-2023,4.242913004,4.401741073,4.110447562,4.119577896,17045403.31,65458665.56,660003965.7
05-07-2023,06-07-2023,4.303134272,4.412148583,4.209957758,4.268473265,15185872.99,66333440.07,668669266.8
04-07-2023,05-07-2023,4.387710902,4.458715495,4.25011133,4.307210463,23271137.03,67097580.36,675081874.6
03-07-2023,04-07-2023,4.236963541,4.665117477,4.203651147,4.413210271,33996235.74,67912486.99,687298416.4
02-07-2023,03-07-2023,4.117181557,4.313004865,3.96825589,4.241213002,21063323.05,63772475.14,684850118.7
01-07-2023,02-07-2023,4.125393697,4.264115546,3.969352346,4.116371236,36268071.21,62835627.78,682635448.3
30-06-2023,01-07-2023,3.639927504,4.316860899,3.621646919,4.139235087,16753259.46,59272444.47,685517239.8
29-06-2023,30-06-2023,3.553822567,3.718273023,3.553395194,3.639788259,10631176.6,54131541.54,657872349.5
28-06-2023,29-06-2023,3.851583761,3.851583761,3.491554414,3.568931488,9537977.77,54610708.15,661021487.6
27-06-2023,28-06-2023,3.781958369,3.891451101,3.764671557,3.849721031,10488804.34,57266231.07,684943581.3
26-06-2023,27-06-2023,3.941219068,3.99850902,3.728617659,3.780262109,11207749.47,57563448.82,677343125.9
25-06-2023,26-06-2023,3.871454315,4.107912077,3.843647432,3.953081388,10859825.41,59357921.65,678734467.1
24-06-2023,25-06-2023,3.915209549,3.941520409,3.792642519,3.862384743,10018645.24,57911379.32,680097834.4
23-06-2023,24-06-2023,3.791602367,3.979628531,3.74719566,3.922833675,10110652.31,57419642.33,679378226.1
22-06-2023,23-06-2023,3.784838678,3.947879569,3.76395994,3.77399494,11899727.41,57637690.98,677704018.3
21-06-2023,22-06-2023,3.574520016,3.828445037,3.574520016,3.791851739,11144580.55,55532917.47,680316481.5
20-06-2023,21-06-2023,3.486086309,3.591327833,3.37067783,3.581771308,8686819.923,51842503.26,662726290.7
19-06-2023,20-06-2023,3.451692655,3.51218325,3.381269423,3.48385615,8556812.003,51650407.56,646192248.8
18-06-2023,19-06-2023,3.49374968,3.560180589,3.442196874,3.45099092,8740016.359,52305140.33,643386048.3
17-06-2023,18-06-2023,3.491589872,3.640858725,3.460205855,3.502962889,9190583.01,52558448.92,644603209.7
16-06-2023,17-06-2023,3.429477986,3.537692053,3.37094341,3.500988564,9212254.537,51586333.62,635471439.6
15-06-2023,16-06-2023,3.356506834,3.472208265,3.334896631,3.429993577,11248046.53,50820578.05,626549152.5
14-06-2023,15-06-2023,3.545410534,3.573022958,3.2772496,3.364401768,11255600.49,52063951.43,625304574.7
13-06-2023,14-06-2023,3.486397934,3.545610301,3.403309805,3.539077479,12791884.45,51799125.89,623841190.9
12-06-2023,13-06-2023,3.338914885,3.543359618,3.174846564,3.487590999,8381516.206,50403480.81,624442317.3
11-06-2023,12-06-2023,3.352214136,3.40012504,3.248614387,3.330627134,10046621.62,49654272.31,640587955.4
10-06-2023,11-06-2023,4.217991182,4.217991182,3.081934743,3.358695675,13348467.79,52250352.86,647792308.1
09-06-2023,10-06-2023,4.191281707,4.24004738,4.17706226,4.214790491,9531495.199,62835064.56,698493804.1
08-06-2023,09-06-2023,4.17238594,4.216553037,4.148401822,4.191964266,10891591.59,62389868.61,709969229.2
07-06-2023,08-06-2023,4.34951766,4.354251392,4.156795809,4.171608123,11247494.14,63361073.03,710934121.2
06-06-2023,07-06-2023,4.24940017,6.203499107,4.169251147,4.353203903,12879711.51,63994053.82,749878228.9
05-06-2023,06-06-2023,4.860086436,4.862173553,4.219005443,4.262118285,10720937.02,68467049.18,727308298.8
04-06-2023,05-06-2023,4.893307309,4.950169881,4.833103842,4.871711802,9972934.376,73131629.97,790709588.3
03-06-2023,04-06-2023,4.915334164,4.944099063,4.852336648,4.894116543,11286322.85,72956236.31,796456368.3
02-06-2023,03-06-2023,4.895102339,4.989917593,4.834292838,4.905318093,11451244.29,73561194.29,789481634.6
01-06-2023,02-06-2023,4.819497837,4.93351497,4.727606164,4.895879174,9060269.571,72174513.49,785818992.3
31-05-2023,01-06-2023,4.969644132,5.031125635,4.73073054,4.825489765,4591605.606,72146231.04,786430399.6
30-05-2023,31-05-2023,4.926669243,4.981579251,4.877272722,4.962420991,3126069.721,73601563.49,799983329.9
29-05-2023,30-05-2023,5.106606763,5.119986202,4.916712951,4.926973518,4858000.892,74580698.71,798292197.6
28-05-2023,29-05-2023,4.870237439,5.169938107,4.853307884,5.117085141,3001367.295,73758061.4,808476628.9
